FileName	SampleName	Transformation	Genotype
	WT_1	wild-type	WT_EAD
	WT_2	wild-type	WT_EAD
	WT_3	wild-type	WT_EAD
	toyKD_1	wild-type	WT_EAD
	toyKD_2	wild-type	WT_EAD
	toyKD_3	wild-type	WT_EAD
	PcKD_1	transformation	PcKD
	PcKD_2	transformation	PcKD
	PcKD_3	transformation	PcKD
	toy-PcKD_1	transformation	PcKD
	toy-PcKD_2	transformation	PcKD
	toy-PcKD_3	transformation	PcKD
	SfmbtKD_1	wild-type	SfmbtKD
	SfmbtKD_2	wild-type	SfmbtKD
	SfmbtKD_3	wild-type	SfmbtKD
	toy-SfmbtKD_1	transformation	SfmbtKD
	toy-SfmbtKD_2	transformation	SfmbtKD
	toy-SfmbtKD_3	transformation	SfmbtKD
	ScmKD_1	wild-type	ScmKD
	ScmKD_2	wild-type	ScmKD
	ScmKD_3	wild-type	ScmKD
	toy-ScmKD_1	transformation	ScmKD
	toy-ScmKD_2	transformation	ScmKD
	toy-ScmKD_3	transformation	ScmKD
