geneid	WT_1	WT_2	WT_3	toyKD_1	toyKD_2	toyKD_3	PcKD_1	PcKD_2	PcKD_3	toy-PcKD_1	toy-PcKD_2	toy-PcKD_3	SfmbtKD_1	SfmbtKD_2	SfmbtKD_3	toy-SfmbtKD_1	toy-SfmbtKD_2	toy-SfmbtKD_3	ScmKD_1	ScmKD_2	ScmKD_3	toy-ScmKD_1	toy-ScmKD_2	toy-ScmKD_3
128up	2783	837	1741	5050	2538	2592	1218	1052	3254	3668	1112	869	2639	1184	1544	1410	2926	2991	1645	1789	1539	1123	1223	1687
14-3-3epsilon	65927	18575	45829	127698	67053	63214	29177	25094	66317	88386	26653	22645	64186	27303	38675	30927	66975	70072	41673	49312	40680	25933	30251	38420
14-3-3zeta	35135	9939	25174	67719	36018	35421	14938	12839	35148	43141	12721	11414	34888	14654	20895	16251	35212	38152	19394	21880	18208	12231	14459	18196
140up	373	96	238	661	374	333	159	154	407	492	126	120	353	141	184	178	357	361	219	268	200	181	153	223
18SrRNA:CR41548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18SrRNA:CR45838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18SrRNA:CR45841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18w	10128	2932	6954	18082	9808	9423	3356	2598	6377	9440	2576	2212	9753	4600	5850	4135	8016	10048	4504	5827	5269	2919	3592	4798
26-29-p	10811	2683	6352	18044	9945	9854	5070	4370	11580	15285	4551	3880	9123	4119	5686	4945	10584	11334	6799	8333	6897	4869	5644	7207
28SrRNA:CR45837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28SrRNA:CR45844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2SrRNA:CR45836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2SrRNA:CR45840	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2SrRNA:CR45843	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2SrRNA:CR45864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2mit	306	164	254	752	266	425	232	207	432	849	225	226	343	109	144	203	424	520	182	256	220	202	291	183
312	427	93	275	684	376	394	149	164	384	435	145	142	371	154	249	228	312	399	173	218	246	152	146	189
4E-T	5263	1442	3345	9740	5087	5045	1843	1720	4054	6198	1641	1528	4788	2094	2909	2034	4490	5079	2167	2582	2113	1356	1565	1816
4EHP	2173	558	1390	3998	2038	2067	1000	792	2237	2858	812	690	2299	970	1415	940	2165	2436	1334	1434	1247	760	873	1096
5-HT1A	68	12	14	40	11	20	16	8	26	20	14	2	16	6	12	2	34	32	2	20	18	0	2	2
5-HT1B	30	6	4	26	25	6	2	6	12	16	12	0	6	6	10	4	12	13	2	0	0	2	4	6
5-HT2A	6	8	0	12	4	14	4	4	6	18	0	0	4	6	2	0	3	6	0	2	2	0	0	0
5-HT2B	10	2	0	10	8	2	0	0	2	2	0	0	0	0	2	0	4	0	0	2	2	2	0	0
5-HT7	16	6	18	47	20	17	8	10	8	6	2	2	8	6	2	12	6	4	13	20	15	0	0	6
5.8SrRNA:CR40454	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
5.8SrRNA:CR45839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5.8SrRNA:CR45842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5.8SrRNA:CR45852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5PtaseI	863	182	446	1389	841	791	323	275	710	939	297	244	712	264	449	271	701	701	359	406	292	169	180	258
5SrRNA:CR33353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
