Geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	res_WT_vs_PcKD_change
AANATL2	39.7751477037033	-2.40923078512788	0.663761544319195	-3.6296631007736	0.000283791370109621	0.00261593827299067	depleted in absence of Pc
AOX1	200.391804378404	2.93687253938942	0.540440201653635	5.43422293604953	5.50357381202681e-08	1.90093243651703e-06	enriched in absence of Pc
AOX3	918.460578991722	1.08030207003572	0.412414727026987	2.61945560921987	0.00880702341979455	0.0383798837626025	enriched in absence of Pc
AOX4	92.919785527159	2.63757154189156	0.917001780706723	2.87629925850178	0.00402368037292582	0.0213505236783074	enriched in absence of Pc
ATP6	3631.14544146541	-1.07539639574946	0.32627438548015	-3.29598780537702	0.000980762723226764	0.00697984089545885	depleted in absence of Pc
ATPsynepsilonL	95.113691553082	1.25106350078052	0.256978766447018	4.86835359231305	1.12531847049315e-06	2.61166644576097e-05	enriched in absence of Pc
Abd-B	498.374951885145	5.74989546471994	0.525304022034239	10.9458432137136	6.95673734412748e-28	8.90549339265119e-25	enriched in absence of Pc
Ance	31164.0412719491	-1.85330285316619	0.275677005994115	-6.72273281002536	1.78347450841972e-11	1.55734476979865e-09	depleted in absence of Pc
Ank2	2256.40740302211	-1.11028632505016	0.150295526372635	-7.38735444658131	1.49778946353779e-13	2.2557149847192e-11	depleted in absence of Pc
Antp	478.417870297487	2.30584222278334	0.651903280197239	3.5370925301767	0.000404557903887724	0.00344968983656468	enriched in absence of Pc
Arc1	2024.5925025066	1.90559290931557	0.274815545261469	6.93407975703311	4.0887393823459e-12	4.36174791818796e-10	enriched in absence of Pc
Arpc3B	43.4388392458353	-1.87175718230824	0.443463296977969	-4.22077135822409	2.43467783504448e-05	0.000352666700264364	depleted in absence of Pc
AstC-R1	14.3003642113234	-2.90022487373491	1.096410031647	-2.64520096498776	0.0081642413040503	0.0363363734005994	depleted in absence of Pc
Awh	168.239312648165	-1.06908025804626	0.227582626666864	-4.69754775970302	2.63303628659425e-06	5.40379250721677e-05	depleted in absence of Pc
B-H1	852.608926167523	-1.11102437245219	0.162271142369563	-6.84671566508048	7.55646949563828e-12	7.23231814063847e-10	depleted in absence of Pc
B-H2	1054.63649054883	-1.01691493884322	0.165140916165817	-6.15786179738851	7.37336555921473e-10	4.10383895064772e-08	depleted in absence of Pc
BBS8	26.2816079086824	1.78946080154603	0.526860652759632	3.39645937151133	0.000682636905274874	0.005248411822012	enriched in absence of Pc
