geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	res_wt_v_ScmKD_change
5-HT1B	7.35892524274329	-4.0432231968739	1.29495885811089	-3.12227926898946	0.00179456619084278	0.0097491875583947	depleted in ScmKD
AANATL2	39.7751477037033	-2.00946102871303	0.653893855815536	-3.07306913934347	0.00211869393964228	0.0111612883929406	depleted in ScmKD
ATP6	3631.14544146541	-1.38346550363463	0.326298712686101	-4.23987423133207	2.23645055201934e-05	0.0002516867044311	depleted in ScmKD
Abd-B	498.374951885145	9.1628412346531	0.521601918004767	17.5667322499557	4.42963634089286e-69	2.26819528835419e-65	enriched in ScmKD
Ac3	177.008988939145	-2.20696931996202	0.297116891584525	-7.42794968065345	1.10293897594687e-13	4.93240089636327e-12	depleted in ScmKD
Ada1-1	24.4921965204829	-1.17715749622235	0.423429696257743	-2.78005417812219	0.00543498300561323	0.0233667762218661	depleted in ScmKD
Ada2a	247.831726214475	-2.00978893252067	0.157845433111409	-12.7326390944877	3.89449223437888e-37	1.81288613510337e-34	depleted in ScmKD
Adgf-D	24.980584043577	-2.1313778681641	0.818869358544001	-2.60283016567358	0.00924577422359711	0.0352792893030759	depleted in ScmKD
AkhR	6.92307202069974	-6.05414699070173	2.33733635195724	-2.59019074667285	0.00959227646739257	0.0362890666060463	depleted in ScmKD
Alk	89.6751691901596	-1.25376709462151	0.465929800718993	-2.69089268959997	0.0071261112866997	0.0289023784899373	depleted in ScmKD
Amnionless	9.96895534321837	-5.55362697026987	1.93748150778065	-2.86641547182118	0.00415149008853884	0.0189293900252566	depleted in ScmKD
Ance-4	24.4662437431359	-4.54882661259362	1.40671316235467	-3.233656110091	0.00122216521168201	0.00715211081876312	depleted in ScmKD
Ant2	34.4798625967949	-1.16771994744262	0.386454579422956	-3.02162274590259	0.00251423680527162	0.012810099066063	depleted in ScmKD
Antp	478.417870297487	1.71332853321585	0.652160463555882	2.62715792962055	0.00861013623546766	0.0336416478374333	enriched in ScmKD
Apoltp	18.703557866629	-3.08079982734287	0.999828633405232	-3.08132786400629	0.00206079593846355	0.0109124153080689	depleted in ScmKD
Arpc3B	43.4388392458353	-1.09321656820023	0.420107619778868	-2.60222980191521	0.00926197668730229	0.0353265933909359	depleted in ScmKD
AsnS	591.687520739368	-1.00718518753181	0.322214564276512	-3.12582142211139	0.00177309186673809	0.00964837077963058	depleted in ScmKD
Asph	173.13072910633	-1.12269440590508	0.435368286398162	-2.57872344169398	0.00991661432707357	0.0370790024819555	depleted in ScmKD
AttC	11.5158449198833	-22.4700369067408	3.62865012955887	-6.19239554778251	5.92566179012224e-10	1.59696585243794e-08	depleted in ScmKD
Atx-1	7.24245952037381	-2.21201110329474	0.90058650524567	-2.45618948364247	0.0140419095937528	0.0485165978912358	depleted in ScmKD
C15	140.835471030362	-1.9604573898706	0.305604042474666	-6.41502440214977	1.40800306679912e-10	4.0964089224687e-09	depleted in ScmKD
CCHa2	17.9587533883914	-3.73314647192562	1.19810840751197	-3.11586701881008	0.00183404959726391	0.00991684367770841	depleted in ScmKD
CCKLR-17D3	168.628735481572	1.76194653734378	0.289114919593198	6.09427745833023	1.09932846066252e-09	2.82869918734795e-08	enriched in ScmKD
CG10019	15.4591858304485	-1.90458275959489	0.73770225338369	-2.5817770663692	0.00982930565966954	0.0368860092563854	depleted in ScmKD
CG10026	101.343250730477	-1.50767695125019	0.397959888678887	-3.78851485825682	0.000151550530555916	0.00127844232571922	depleted in ScmKD
CG10195	241.857611261306	-1.01630956513584	0.129736154077703	-7.83366496687689	4.73850414316487e-15	2.4631453852908e-13	depleted in ScmKD
CG10208	155.948854398932	-2.034391749351	0.309135456171441	-6.58090720018464	4.67586373591367e-11	1.45992440608207e-09	depleted in ScmKD
CG10232	16.2520348700264	-2.75187948553976	0.930325616966321	-2.95797453639222	0.00309667703305737	0.0150085515833131	depleted in ScmKD
CG10365	82.3775694709369	-1.14004860874054	0.44174126649222	-2.58080622123768	0.00985698932545269	0.0369492780680677	depleted in ScmKD
CG10472	7.63074729803164	-2.65748829020964	1.01937322674026	-2.60698262471315	0.00913439953191118	0.0350488518569885	depleted in ScmKD
CG10559	104.638469830573	1.01254303374775	0.3593956610174	2.81734907672891	0.00484218660365552	0.0212645081509589	enriched in ScmKD
CG10621	57.0885940673188	-2.95272257821165	0.671773358353041	-4.3954148248015	1.10561410979965e-05	0.000136416796366967	depleted in ScmKD
CG10660	30.0045782573491	-1.40093840124812	0.505163009898869	-2.77324026857901	0.00555011255943408	0.0237421481709124	depleted in ScmKD
CG10713	48.4135009133458	-1.46333308673948	0.58546162203116	-2.49945176878151	0.012438562950337	0.0443226594204598	depleted in ScmKD
CG10764	48.553798318525	-1.61281087887116	0.540369456195495	-2.98464478400807	0.00283907806088639	0.0140867240414426	depleted in ScmKD
CG10804	9.69634581221217	-3.82220884209863	1.0300105717284	-3.71084428355411	0.000206569147376651	0.00165789548454881	depleted in ScmKD
CG10877	299.385299344422	1.0089201750195	0.215275969321456	4.68663631244857	2.77731862527644e-06	3.98913324564601e-05	enriched in ScmKD
CG10924	386.294539472848	-1.00901571250141	0.351065200221289	-2.87415474921863	0.004051104163636	0.0185540055894645	depleted in ScmKD
CG10947	20.8191015638347	-2.10361581027294	0.606667627822751	-3.46749309473218	0.000525337239275123	0.00361601230135834	depleted in ScmKD
CG10948	756.437440037848	-1.06546643574377	0.112973443565053	-9.43112294466124	4.05721758922419e-21	3.95713955535666e-19	depleted in ScmKD
CG10962	30.7051027686712	-2.38701912787237	0.953474390177253	-2.50349579649288	0.0122973141156745	0.043901418366839	depleted in ScmKD
CG11029	205.630531258667	1.42976320175335	0.547298944109115	2.61239897709048	0.00899092599785885	0.0346541487181304	enriched in ScmKD
CG11034	73.8287469465307	-1.46299335116068	0.467612039995304	-3.12864773793115	0.00175612702919269	0.0095662217584906	depleted in ScmKD
CG11317	7.78459660217235	-3.62232200632296	1.07626905431495	-3.365628689035	0.000763694344161533	0.00491268453427026	depleted in ScmKD
