geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	res_toy_v_toyScmKD_change
5-HT1A	13.6925794674282	-2.55259786651645	1.01121315696718	-2.5242925776126	0.0115931397405778	0.0381640913835804	depleted in toy-ScmKD
5-HT7	9.1745742025986	-2.28029133877949	0.899526982443989	-2.53498937028438	0.0112450738216035	0.0372524188112894	depleted in toy-ScmKD
AANATL2	39.7751477037033	-3.74302600627008	0.956893087003715	-3.91164494456792	9.16696132660362e-05	0.000641442350675838	depleted in toy-ScmKD
Abd-B	498.374951885145	11.001748327878	0.794764366840102	13.8427800577167	1.4065948497175e-43	3.203061097998e-41	enriched in toy-ScmKD
Ac3	177.008988939145	-2.25577076900441	0.302491121281277	-7.45731233184474	8.83052072059728e-14	2.56943623745157e-12	depleted in toy-ScmKD
Ada1-1	24.4921965204829	-1.56307658596979	0.485100713233768	-3.22216921832591	0.0012722397252266	0.00623617740839896	depleted in toy-ScmKD
Ada2a	247.831726214475	-2.1038879225583	0.16699794781981	-12.5982860868948	2.15782508727941e-36	2.82540222365648e-34	depleted in toy-ScmKD
Adar	1492.86852048858	-1.09568385588648	0.0783166513896585	-13.9904328957451	1.78323182377119e-44	4.44746508428648e-42	depleted in toy-ScmKD
AhcyL2	120.818608518127	-1.23083446199085	0.265593614903706	-4.63427730533773	3.58186586250562e-06	3.63918961297249e-05	depleted in toy-ScmKD
Ama	6325.51693382433	1.03364994272046	0.104197157425445	9.92013571445122	3.40293159403759e-23	1.94785292063081e-21	enriched in toy-ScmKD
Amnionless	9.96895534321837	-6.84106461703973	2.02924652184132	-3.37123387592761	0.000748322996761127	0.00398509577583772	depleted in toy-ScmKD
Ance	31164.0412719491	-1.15330329981828	0.275637215096615	-4.18413493045209	2.86254058352158e-05	0.000231188223688423	depleted in toy-ScmKD
Ance-2	28.9306570557532	-1.1276998340514	0.454030790162085	-2.48375189191206	0.0130006352240129	0.0418276122526157	depleted in toy-ScmKD
Ance-3	10.0800149838323	-5.61243972655091	2.07997658284613	-2.6983187084112	0.00696906850478115	0.0254713861087169	depleted in toy-ScmKD
Ant2	34.4798625967949	-2.33872982554782	0.45130657218725	-5.18213110483458	2.19364928323227e-07	2.86514666357333e-06	depleted in toy-ScmKD
Antp	478.417870297487	2.58752247796087	0.650694692510309	3.97655383967939	6.9921173898526e-05	0.000502662869362173	enriched in toy-ScmKD
Arpc3B	43.4388392458353	-1.85541612314147	0.445575799336499	-4.16408639316666	3.12601741312046e-05	0.000249962079407915	depleted in toy-ScmKD
AttB	10.9160379484325	-4.73556429057375	1.96742507951298	-2.40698583132122	0.0160847938887069	0.0496722334859093	depleted in toy-ScmKD
AttC	11.5158449198833	-18.6599163428236	3.63374948248939	-5.13516862754121	2.81891156454369e-07	3.63624968417255e-06	depleted in toy-ScmKD
BBS8	26.2816079086824	-1.60781236843323	0.618918701692617	-2.59777635420644	0.00938295838138302	0.032267396272156	depleted in toy-ScmKD
C15	140.835471030362	-2.18614160568308	0.314514173554345	-6.95085242416057	3.63085540319338e-12	9.14259864145449e-11	depleted in toy-ScmKD
CCHa2	17.9587533883914	-5.76596331488017	1.65402956773381	-3.48600981951015	0.000490283007569321	0.00275521164393167	depleted in toy-ScmKD
CCKLR-17D3	168.628735481572	1.51094316388412	0.283103218141413	5.33707519753234	9.44578722863957e-08	1.31226288090185e-06	enriched in toy-ScmKD
CG10026	101.343250730477	-2.17317256778253	0.437869129685733	-4.96306412224642	6.93896604822326e-07	8.25035974519167e-06	depleted in toy-ScmKD
CG10131	358.243686579623	-1.36254637298055	0.329047350364071	-4.14088237292589	3.45972354308789e-05	0.000272896115315102	depleted in toy-ScmKD
CG10208	155.948854398932	-2.2510487820162	0.308216262805919	-7.30347179452263	2.80435685368029e-13	7.85444867441204e-12	depleted in toy-ScmKD
CG10467	836.69948054598	-1.44422350608684	0.305954809258794	-4.7203817765951	2.35402396175467e-06	2.50848433360937e-05	depleted in toy-ScmKD
CG10472	7.63074729803164	-5.39751232943981	1.46009369731303	-3.69668901343297	0.000218429645708524	0.00136845127918469	depleted in toy-ScmKD
CG10512	103.783125215239	-1.28594433521908	0.400367376027507	-3.21191089038865	0.00131855266606369	0.00641515985927411	depleted in toy-ScmKD
CG10621	57.0885940673188	-4.57509920436739	0.878817076173592	-5.20597440401087	1.92981247029977e-07	2.55559868854489e-06	depleted in toy-ScmKD
CG10660	30.0045782573491	-1.43409418302362	0.576576838163796	-2.48725597023761	0.0128732737614644	0.0414844120849789	depleted in toy-ScmKD
CG10738	49.6413046150866	-1.13667848777907	0.314662367798935	-3.61237505371279	0.000303405309605448	0.00182653483799831	depleted in toy-ScmKD
CG10764	48.553798318525	-2.64574881025334	0.604322652343913	-4.37804010819649	1.19751316221446e-05	0.000107304964706557	depleted in toy-ScmKD
CG10864	6.46633274648608	-2.69239356460273	1.06672078685996	-2.52399090536912	0.0116030930394753	0.0381848569238153	depleted in toy-ScmKD
CG1092	217.792222388656	-1.07102857148929	0.357185502549342	-2.99852195524462	0.00271292608772127	0.0116133636162159	depleted in toy-ScmKD
CG10948	756.437440037848	-1.34121390784045	0.115636697371792	-11.5985144709574	4.19293234845345e-31	3.72211579237711e-29	depleted in toy-ScmKD
CG10962	30.7051027686712	-2.61654262353773	1.03312382389658	-2.53265152057867	0.0113203432243018	0.0374425624485511	depleted in toy-ScmKD
CG11034	73.8287469465307	-2.07899585390522	0.537721333899599	-3.8663071796467	0.000110495749473411	0.000753543603993476	depleted in toy-ScmKD
CG11317	7.78459660217235	-4.85370980221785	1.53590727894152	-3.16015808295591	0.00157683559098466	0.00749766355676999	depleted in toy-ScmKD
CG11345	14.0117991938779	-3.8377355720316	1.43311162262631	-2.67790415724813	0.00740844138355014	0.0266983336778622	depleted in toy-ScmKD
CG1136	212.669018592516	1.4137995052448	0.30628679662918	4.61593356554797	3.91332127592446e-06	3.92268328854629e-05	enriched in toy-ScmKD
CG11360	2114.80459615015	-2.19533419204891	0.138571477934084	-15.8426122372253	1.581136666004e-56	1.38020054803266e-53	depleted in toy-ScmKD
CG11425	12.6594628136043	-3.52667205124731	1.26122928742101	-2.79621801239545	0.0051704509292077	0.0198973084068518	depleted in toy-ScmKD
CG11459	22.3538631827841	-5.90329388801972	1.88113598316214	-3.13815372246319	0.00170015687370974	0.00795051038040605	depleted in toy-ScmKD
CG11594	224.945321949367	3.21166047558997	0.37459334696444	8.57372535208121	1.00190197500857e-17	3.97534969250561e-16	enriched in toy-ScmKD
CG11619	34.73782775213	-1.68661594930447	0.457063455294935	-3.69011333057928	0.000224154167529793	0.0014002791860355	depleted in toy-ScmKD
CG11854	165.163761897649	-2.82022843166257	0.919721711317561	-3.06639323282084	0.00216658169269961	0.00967801417101424	depleted in toy-ScmKD
CG11880	538.649343544936	-1.53260550147929	0.218743648292903	-7.00640001865151	2.44528154177745e-12	6.26267094134934e-11	depleted in toy-ScmKD
CG12116	50.2236677799694	-7.44234960386124	1.5939611059457	-4.66909109394216	3.02535219133292e-06	3.14390517898932e-05	depleted in toy-ScmKD
CG12224	34.6734976942916	-3.67660284558892	0.639367910821976	-5.75037123909182	8.90477000322453e-09	1.47824826915653e-07	depleted in toy-ScmKD
CG12592	81.8507305133301	-1.20645176127305	0.29927967016517	-4.03118514734801	5.54963037230422e-05	0.000411702394829226	depleted in toy-ScmKD
CG12825	9.76616261073986	-5.35030797062037	1.47238170129572	-3.63377782127557	0.000279301397138506	0.00170196750146937	depleted in toy-ScmKD
CG12974	14.6540239394809	-3.11939891277779	1.03675221819983	-3.00881817083949	0.0026226602700866	0.0112962032603442	depleted in toy-ScmKD
CG13032	5.31573446967305	-5.88788897443306	2.41897472066195	-2.43404320191566	0.0149312128628679	0.0466740551276571	depleted in toy-ScmKD
CG13033	20.8761132668471	-6.44552298983491	1.76489272579759	-3.65207635320841	0.000260128511621979	0.00159816502124723	depleted in toy-ScmKD
CG13041	246.495759690565	-2.32722599482981	0.314109383832806	-7.40896679504659	1.27287168047899e-13	3.66300298159818e-12	depleted in toy-ScmKD
CG13060	95.8834357149835	-2.74367538529611	0.300233401503536	-9.13847483842931	6.33392669040123e-20	3.05750608672594e-18	depleted in toy-ScmKD
CG13086	3.30692616889595	-4.21716106882969	1.50908620939163	-2.79451302555457	0.00519779467834736	0.0199731838795629	depleted in toy-ScmKD
CG13101	82.9428562935415	-1.76317191987021	0.339576501230572	-5.19226717243611	2.07748587873416e-07	2.73044724965374e-06	depleted in toy-ScmKD
CG13157	4.47480320654831	3.5054113810952	1.18020296267276	2.97017673397179	0.00297628466929927	0.0125579613490282	enriched in toy-ScmKD
CG13285	11.0542834192402	-5.1587470136965	1.76505789927864	-2.92270696377996	0.00347002921369565	0.0142487479472606	depleted in toy-ScmKD
CG13315	20.5248635413129	-5.9646503992542	1.79539204290608	-3.322199417571	0.000893108393946876	0.00463823025611975	depleted in toy-ScmKD
CG13360	20.1910990240063	-6.01894007348183	1.96544592381799	-3.06237887318197	0.0021958532546199	0.00978373578993769	depleted in toy-ScmKD
CG13375	5.2300467092078	-3.85893694317954	1.43945994215866	-2.68082273786137	0.00734414076286928	0.0265236805016218	depleted in toy-ScmKD
CG13516	258.084799738725	-1.381554558314	0.197885559456328	-6.98158350770867	2.91871330343843e-12	7.40278979504056e-11	depleted in toy-ScmKD
CG13606	52.9020824208151	-2.90912357483111	0.952979951117411	-3.05265978724949	0.00226822935437736	0.0100634063901325	depleted in toy-ScmKD
CG13641	36.6326211307118	-3.95233272619135	1.40705948350908	-2.80893080393062	0.00497063289561741	0.019241455869029	depleted in toy-ScmKD
CG13643	19.7029331134091	2.0309987025361	0.671894580925609	3.02279369441881	0.00250452922311298	0.0109015099450311	enriched in toy-ScmKD
CG13675	4.35467756095966	2.82768529211571	1.07759556777106	2.62406915607922	0.00868861414131474	0.0304901953535249	enriched in toy-ScmKD
CG13699	13.4019650758209	-2.70953106625561	0.820099105362953	-3.30390686751993	0.000953475015388925	0.00488632621634001	depleted in toy-ScmKD
CG13796	45.4484229901621	-1.73448715693971	0.668676655310384	-2.59391014052166	0.00948912843308055	0.0325683552871949	depleted in toy-ScmKD
CG13840	107.213710312229	2.4979872387269	0.431901716955297	5.78369369850281	7.30779528747176e-09	1.23466380058495e-07	enriched in toy-ScmKD
CG13856	12.5786093540273	2.70727401078844	0.689901749084311	3.92414429211368	8.70385584495042e-05	0.000611898590441984	enriched in toy-ScmKD
CG13868	233.835693946435	-1.44540186846527	0.290897957923153	-4.96875907546625	6.73827279274478e-07	8.04827907685309e-06	depleted in toy-ScmKD
