geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	res_toy_v_toySfmbtKD_change
AGO3	34.0468364662082	1.81962784675642	0.434961994725857	4.18341802001179	2.87158671597622e-05	0.000695647096691091	enriched in toy-SfmbtKD
ATPsynepsilonL	95.113691553082	2.75970785971739	0.223119454964379	12.3687459713362	3.85797571000431e-35	3.2165872482161e-32	enriched in toy-SfmbtKD
Abd-B	498.374951885145	6.48783110456584	0.800696488054313	8.10273455842328	5.3737401314294e-16	1.22191522761253e-13	enriched in toy-SfmbtKD
Acf	1616.40435891185	-1.59467158867612	0.118620664271717	-13.4434552231415	3.36356765333917e-41	3.36524943716584e-38	depleted in toy-SfmbtKD
Acp32CD	5.05263129702515	-4.71957175726427	1.35196699847358	-3.49089272341176	0.000481409510378404	0.00675526248434211	depleted in toy-SfmbtKD
Ada1-1	24.4921965204829	-1.58821469297393	0.440479501613114	-3.60564949596431	0.000311373175171932	0.00481497467943614	depleted in toy-SfmbtKD
Alp1	51.798753485488	-2.79539200834928	0.916176558885197	-3.0511498916221	0.0022796673832427	0.0227852868824608	depleted in toy-SfmbtKD
Amnionless	9.96895534321837	-7.70437645631403	2.02924652184132	-3.79666855327324	0.000146653660299363	0.00259370582392183	depleted in toy-SfmbtKD
Ance-4	24.4662437431359	-4.59901666627234	1.62940686155004	-2.82250969650228	0.00476493810726663	0.0400334270184122	depleted in toy-SfmbtKD
Antp	478.417870297487	2.66288529920671	0.650108123299409	4.09606526017874	4.20231514326006e-05	0.000930180597529134	enriched in toy-SfmbtKD
BoYb	17.562603923551	2.3049405791439	0.611734001453937	3.7678804409525	0.000164639516383692	0.0028302720986578	enriched in toy-SfmbtKD
CCKLR-17D3	168.628735481572	1.16380175662567	0.280452942593301	4.14972203844321	3.32879251878124e-05	0.000789207799772661	enriched in toy-SfmbtKD
CG10026	101.343250730477	-1.98034551653803	0.41284934576791	-4.79677523251136	1.61240355179739e-06	5.88762683785873e-05	depleted in toy-SfmbtKD
CG10051	36.5588867741027	1.00677738864326	0.362859647844958	2.77456420029773	0.00552757228922836	0.0443847197060431	enriched in toy-SfmbtKD
CG10089	159.28371095184	1.26582169678159	0.217224046613964	5.82726321746103	5.63437086906042e-09	3.99800571240777e-07	enriched in toy-SfmbtKD
CG10205	19.7451336789878	4.47914807191403	1.2687250144845	3.53043253721453	0.000414880804238191	0.00604204140670029	enriched in toy-SfmbtKD
CG10208	155.948854398932	-2.19690511080366	0.300085860160294	-7.32092178428585	2.46273358674967e-13	4.24821543714318e-11	depleted in toy-SfmbtKD
CG10467	836.69948054598	-1.48199784071025	0.304708669133881	-4.86365499518853	1.15237707774619e-06	4.43443563955794e-05	depleted in toy-SfmbtKD
CG10559	104.638469830573	1.18786879939311	0.344399619859288	3.44910020480987	0.000562457937571295	0.00764591258885979	enriched in toy-SfmbtKD
CG10621	57.0885940673188	-2.26650914128398	0.6826461955818	-3.3201813120079	0.000899590024713317	0.0109894971883477	depleted in toy-SfmbtKD
CG11263	83.7979828752563	1.42110147492473	0.355382506067397	3.99879411806281	6.36660301822048e-05	0.00130796433670012	enriched in toy-SfmbtKD
CG11345	14.0117991938779	-5.15694723506262	1.47947031502408	-3.48567131269457	0.000490903780882546	0.00685962615604731	depleted in toy-SfmbtKD
CG1136	212.669018592516	2.61880685491675	0.301859243025927	8.6755894193103	4.11413978597638e-18	1.28631151745918e-15	enriched in toy-SfmbtKD
CG11668	16.6084093932646	3.33943608735491	0.782291314716962	4.26878839702207	1.9653760128996e-05	0.000500588523866518	enriched in toy-SfmbtKD
