geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	res_PcKD_v_ScmKD_change
AOX1	200.391804378404	-2.31329071032683	0.535653599758853	-4.31863187583964	1.56999399723266e-05	0.00025280359317075	depleted in ScmKD
Abd-B	498.374951885145	3.41294576993316	0.309374093811553	11.0317762159234	2.68508816120511e-28	1.24990853904098e-25	enriched in ScmKD
Ac3	177.008988939145	-1.88660692155936	0.298535984914639	-6.31952935958057	2.62361101425827e-10	1.34342001985095e-08	depleted in ScmKD
Ada2a	247.831726214475	-2.14083752985121	0.157547465216572	-13.588524111818	4.68431123979846e-42	7.99533856779601e-39	depleted in ScmKD
Ance-3	10.0800149838323	-5.38699615536702	1.85916634355421	-2.89753317342685	0.00376109959745534	0.0228133343251594	depleted in ScmKD
Ank2	2256.40740302211	1.26533224662726	0.150038910049867	8.43336069428067	3.358774457492e-17	5.13391182375754e-15	enriched in ScmKD
Arc1	2024.5925025066	-1.89984040546515	0.274644620726556	-6.91744990467769	4.59845912867364e-12	3.38797265731991e-10	depleted in ScmKD
Arc2	83.7364414257832	-1.12224948702596	0.22581288319759	-4.96982045990695	6.70149261157463e-07	1.64580301762915e-05	depleted in ScmKD
AttC	11.5158449198833	-21.2584816745504	3.63146272851271	-5.85397214946964	4.79969032691163e-09	1.97404131075912e-07	depleted in ScmKD
Awh	168.239312648165	1.22257317433845	0.225870191246259	5.41272474952447	6.20728696169453e-08	2.03746236457416e-06	enriched in ScmKD
BBS8	26.2816079086824	-2.58642643714438	0.555430643750391	-4.65661458590086	3.21451403226904e-06	6.45487023617004e-05	depleted in ScmKD
CG10433	169.752823832903	-1.44464886337107	0.325318908366875	-4.44071594431235	8.96600813888302e-06	0.00015885967015623	depleted in ScmKD
CG10804	9.69634581221217	-3.01409466557177	1.0457027529066	-2.88236275288928	0.00394705043460356	0.0236959611083405	depleted in ScmKD
CG11313	13.5314448065034	-3.61991532617609	1.31926415022113	-2.74388970970622	0.00607159329841408	0.0332490503376293	depleted in ScmKD
CG11360	2114.80459615015	-1.42800162863899	0.137426368022001	-10.3910308421334	2.72392999091353e-25	9.6192300127398e-23	depleted in ScmKD
CG11374	9.24591065861211	-2.62169373225488	0.983174545828692	-2.66655981216959	0.00766319690689969	0.0399269398826399	depleted in ScmKD
CG11470	18.0870533880582	3.26876497726966	1.23509427515577	2.64657123186601	0.00813123781464649	0.0417822410736552	enriched in ScmKD
CG11880	538.649343544936	-1.63009374752017	0.217874055583934	-7.48181669979604	7.3302140567071e-14	7.21814636103244e-12	depleted in ScmKD
CG11883	224.923400394074	-1.18682973337377	0.242639506666985	-4.89132932091994	1.00157223583842e-06	2.32061114643014e-05	depleted in ScmKD
