geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	res_PcKD_v_SfmbtKD_change
AOX1	200.391804378404	-2.21482513551311	0.535215538141136	-4.13819289179355	3.50052024970514e-05	0.000515838353538751	depleted in SfmbtKD
AOX3	918.460578991722	-1.59855957095308	0.412812367068126	-3.8723635687234	0.00010778501147701	0.00130168054651469	depleted in SfmbtKD
ATP8	186.469196214276	1.74351594871164	0.354522521155538	4.91792719692049	8.74654278213837e-07	2.32843931829678e-05	enriched in SfmbtKD
ATPsynepsilonL	95.113691553082	1.2141356577234	0.222736155646214	5.45100392076395	5.00862659965307e-08	1.81238081031891e-06	enriched in SfmbtKD
Abd-B	498.374951885145	-1.69571382837074	0.326887415340732	-5.18745521788659	2.1318716770773e-07	6.82897910985089e-06	depleted in SfmbtKD
Ac76E	33.4773273250481	-1.62590756254889	0.573392140867076	-2.83559443296557	0.00457404903423407	0.0260449298778006	depleted in SfmbtKD
Act57B	2726.33524907771	-1.57900954660874	0.564493789982644	-2.79721331683258	0.00515454887443447	0.0284038028782993	depleted in SfmbtKD
Aldh	913.237370698278	-1.79560017074046	0.594558863697616	-3.02005449817611	0.00252729205938862	0.0164282391352141	depleted in SfmbtKD
Ance	31164.0412719491	1.38484631736686	0.275682322385572	5.02334101578699	5.07802623016745e-07	1.44221849618419e-05	enriched in SfmbtKD
Ance-3	10.0800149838323	-4.92712388365536	1.81778035224384	-2.71051663506726	0.0067178478668921	0.034745036347028	depleted in SfmbtKD
Aplip1	573.010696398321	1.12658794711021	0.163291567464103	6.89924142811523	5.22809549965617e-12	4.48056956417901e-10	enriched in SfmbtKD
Arpc3B	43.4388392458353	1.53293337495279	0.444909761620984	3.44549278794807	0.000570019177786336	0.00507202856737022	enriched in SfmbtKD
AttA	11.4617192214196	-6.39804020215198	2.25209211797993	-2.8409318389209	0.00449819254574672	0.0257302934261976	depleted in SfmbtKD
B-H1	852.608926167523	1.23225535582617	0.161787384683895	7.61651075721254	2.60624878599575e-14	3.44095278907817e-12	enriched in SfmbtKD
B-H2	1054.63649054883	1.15657921368597	0.164709984367093	7.02191320174177	2.18850486992793e-12	2.03635167420914e-10	enriched in SfmbtKD
BBS8	26.2816079086824	-1.50401685047039	0.515243641707227	-2.91904009816973	0.00351111056561075	0.0210709767973078	depleted in SfmbtKD
BoYb	17.562603923551	2.04872354467138	0.664804894298237	3.08169142893269	0.00205828083047832	0.0141690081548419	enriched in SfmbtKD
Brd	1339.55605498	1.32841767832383	0.133831598601431	9.92603908349062	3.20744364027512e-23	1.36246627676034e-20	enriched in SfmbtKD
CCKLR-17D3	168.628735481572	-1.73173135999394	0.28307603455595	-6.1175484625904	9.50258668928942e-10	5.49350721623418e-08	depleted in SfmbtKD
CG10131	358.243686579623	1.32363313056446	0.327702665593829	4.03912836096683	5.36502005609627e-05	0.000738256985183951	enriched in SfmbtKD
CG10208	155.948854398932	-1.17554880506755	0.33141230605456	-3.5470885769523	0.000389513607449141	0.00371998821581438	depleted in SfmbtKD
CG10237	210.700737106801	-1.08424747480351	0.184127487290184	-5.88856933182788	3.89553119726296e-09	1.89349949240095e-07	depleted in SfmbtKD
CG10433	169.752823832903	-1.02904022932835	0.322625937199436	-3.18957687736133	0.00142481236770845	0.0105939245300697	depleted in SfmbtKD
CG10467	836.69948054598	1.7010869760314	0.30692996264552	5.5422643047594	2.9858515980681e-08	1.16222191685758e-06	enriched in SfmbtKD
CG10483	25.8279582124751	-1.1565804545826	0.411298434208044	-2.81202250820527	0.00492310581623486	0.0274379599684053	depleted in SfmbtKD
CG10924	386.294539472848	1.13704972061637	0.352396513230629	3.22662023580301	0.00125261591332563	0.00961355653824933	enriched in SfmbtKD
CG11029	205.630531258667	-1.69635642999672	0.548312479101534	-3.09377680547481	0.00197626100079634	0.0137131178819462	depleted in SfmbtKD
CG11125	279.048979147088	-1.13297140700149	0.232517078717243	-4.87263737034673	1.10118236674907e-06	2.83866800082807e-05	depleted in SfmbtKD
CG11263	83.7979828752563	1.88359112641987	0.366397396065534	5.14084201101409	2.73509968958311e-07	8.53735590007251e-06	enriched in SfmbtKD
CG11353	107.314524802015	-1.24812199554626	0.375470428441997	-3.32415524899071	0.000886868101083096	0.00733674965925643	depleted in SfmbtKD
CG11619	34.73782775213	1.28664910462007	0.434735223984766	2.95961549383254	0.00308023221029131	0.0190467523383203	enriched in SfmbtKD
CG11638	93.3167505858253	1.19309304472786	0.273960506744138	4.35498188737889	1.3307792130566e-05	0.00023342393018964	enriched in SfmbtKD
CG11668	16.6084093932646	-4.56069571872957	1.00104583948208	-4.55593094626833	5.21540693983043e-06	0.000105277945872197	depleted in SfmbtKD
CG11883	224.923400394074	-1.00306940532568	0.241280566722065	-4.15727391125178	3.22067750496011e-05	0.000485512066719843	depleted in SfmbtKD
