geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	res_PcKD_v_toySfmbtKD_change
AOX1	200.391804378404	-1.9505124487902	0.533259986529196	-3.65771386952434	0.000254474898943583	0.00600476736776072	depleted in toy-SfmbtKD
ATPsynepsilonL	95.113691553082	1.37193198096302	0.220441311040185	6.22357023050426	4.85967129019806e-10	4.96132767943179e-08	enriched in toy-SfmbtKD
Abd-B	498.374951885145	-1.86758887747031	0.325000380158881	-5.74642059359228	9.11524071366476e-09	7.01522948770891e-07	depleted in toy-SfmbtKD
Acf	1616.40435891185	-1.42154476747095	0.11999471911145	-11.8467277393319	2.23758742983413e-32	1.72208171042234e-29	depleted in toy-SfmbtKD
Ada1-1	24.4921965204829	-1.33606466259607	0.462676813604383	-2.88768449879247	0.00388088929112164	0.0480795503614381	depleted in toy-SfmbtKD
Alp4	7.97043343193283	-5.9309010814949	1.72035525424953	-3.44748624846218	0.000565829210994505	0.0112323834444445	depleted in toy-SfmbtKD
Ance	31164.0412719491	1.02606919112107	0.275683299236195	3.72191276716394	0.000197719333689472	0.00488439983595843	enriched in toy-SfmbtKD
Ance-3	10.0800149838323	-6.94977310898526	1.9902247367191	-3.49195393905214	0.000479500927355239	0.00993251920950137	depleted in toy-SfmbtKD
Ance-4	24.4662437431359	-5.14554638613127	1.63367562628571	-3.14967445393677	0.00163452487842609	0.0255522209510203	depleted in toy-SfmbtKD
Aplip1	573.010696398321	1.00359708363977	0.162902725518545	6.16071388888775	7.24177288982375e-10	6.96672478487371e-08	enriched in toy-SfmbtKD
Arc1	2024.5925025066	-2.74500372547859	0.275077097289399	-9.97903406909469	1.88290799477473e-23	1.04658302709562e-20	depleted in toy-SfmbtKD
BoYb	17.562603923551	2.4397578357759	0.658519838751626	3.70491167039251	0.000211464409675443	0.00518554269314414	enriched in toy-SfmbtKD
CCKLR-17D3	168.628735481572	-1.03094687514262	0.275437241493382	-3.74294655854441	0.000181874920686565	0.00456054782323079	depleted in toy-SfmbtKD
CG10026	101.343250730477	-2.3030910044498	0.416527971736206	-5.52925892311593	3.21586399855751e-08	2.21894615900468e-06	depleted in toy-SfmbtKD
CG10345	3.98667575831661	-7.21644298642898	2.15585539009179	-3.34736876118659	0.000815826065661462	0.0151416446037363	depleted in toy-SfmbtKD
CG10433	169.752823832903	-1.08867465803662	0.321304811068541	-3.3882924267959	0.000703292389916311	0.0135838617009898	depleted in toy-SfmbtKD
CG11263	83.7979828752563	1.38063130424797	0.367025640861536	3.76167534509891	0.000168779035538754	0.00428587373239907	enriched in toy-SfmbtKD
CG1136	212.669018592516	2.07247555711278	0.305369683253518	6.78677573697519	1.14667239541155e-11	1.6155443080525e-09	enriched in toy-SfmbtKD
CG11594	224.945321949367	-3.77211861214948	0.395500419220009	-9.53758435854179	1.46197958201312e-21	6.96528843716251e-19	depleted in toy-SfmbtKD
CG11893	36.7570280637578	-2.30535812491227	0.682742015914444	-3.37661674713917	0.000733832219841523	0.0139847454466942	depleted in toy-SfmbtKD
CG12721	34.7386866750346	6.4208456776508	0.937513574569659	6.84880288863883	7.44705216656057e-12	1.11205607352893e-09	enriched in toy-SfmbtKD
CG12826	4.29143871036872	-5.90978315209769	1.99629040235857	-2.96038249000016	0.0030725731168557	0.04076824507205	depleted in toy-SfmbtKD
CG13003	105.395954953648	-1.40937665266507	0.41835413550923	-3.36886033395975	0.00075479665234046	0.0142755019029609	depleted in toy-SfmbtKD
CG13023	222.296415028196	1.12461731648491	0.303850429608357	3.7012200967906	0.000214565257274864	0.00524871735705382	enriched in toy-SfmbtKD
CG13029	28.4480669464041	3.09985558035885	0.664050396630217	4.66810289714357	3.03993652164218e-06	0.000135175843995689	enriched in toy-SfmbtKD
CG13033	20.8761132668471	6.60772333940995	1.76846041394693	3.73642705672023	0.000186653561603697	0.00466867220961247	enriched in toy-SfmbtKD
CG13041	246.495759690565	1.40677051527788	0.312860738563763	4.49647508260668	6.90892718547996e-06	0.000277605688717779	enriched in toy-SfmbtKD
CG13056	4.43071059726498	5.32020504183493	1.50574920866727	3.53326105782503	0.000410466939457576	0.00875633630975063	enriched in toy-SfmbtKD
CG13060	95.8834357149835	1.26169884451313	0.298422840799646	4.22788966532293	2.3589341201004e-05	0.000825214540965191	enriched in toy-SfmbtKD
CG13545	7.48787238015388	-7.91848294786857	2.23843148692907	-3.53751410043469	0.000403912618236724	0.00867198657823695	depleted in toy-SfmbtKD
CG13692	15.3643406493431	-2.40869036538879	0.758831944018315	-3.17420791833541	0.00150246022362136	0.0240129625196992	depleted in toy-SfmbtKD
CG13731	188.886634721679	-1.58904702941054	0.50338982446046	-3.15669278995398	0.00159569364304949	0.0250738064863868	depleted in toy-SfmbtKD
CG13840	107.213710312229	1.38405676676183	0.460494492206157	3.00558810189244	0.00265067794489229	0.0366298796113914	enriched in toy-SfmbtKD
CG13856	12.5786093540273	-2.21636165206334	0.585327977994898	-3.78652949352552	0.000152765971153336	0.0039596464802827	depleted in toy-SfmbtKD
CG13947	19.2810162017837	14.8806437951142	3.51036809445979	4.23905510610111	2.244625594789e-05	0.000796364506236311	enriched in toy-SfmbtKD
CG14107	15.8907317771562	-2.95743542454789	1.00367618927186	-2.94660315364602	0.00321285238450308	0.042019069420854	depleted in toy-SfmbtKD
CG14205	10.3766326395946	4.3306619916658	1.10496836108614	3.91926334199193	8.88200263435618e-05	0.00252455785104357	enriched in toy-SfmbtKD
CG14258	41.2309253762436	-4.2648141986883	1.34559601419325	-3.16946108170903	0.00152721909360147	0.024292252832246	depleted in toy-SfmbtKD
CG14300	62.5276613162286	7.15140670021078	1.6779095825638	4.26209300818441	2.0252111514921e-05	0.000726245074217868	enriched in toy-SfmbtKD
CG14357	3.00211857445643	5.84567817547944	2.01419277331106	2.90224364466859	0.00370500259727842	0.0466858324757816	enriched in toy-SfmbtKD
CG14401	40.6858261766335	-1.20749364779666	0.378913315279585	-3.1867279377757	0.00143892056488444	0.0231826091009159	depleted in toy-SfmbtKD
CG14516	2964.89766959798	1.15051873425347	0.0924145296813797	12.4495437916543	1.40646791024403e-35	1.2792464947265e-32	enriched in toy-SfmbtKD
CG14545	5.39543550569581	4.41798209328757	1.26690808253594	3.48721596632661	0.000488077052177512	0.0100684760969815	enriched in toy-SfmbtKD
CG14990	32.1882757405283	-2.72682502740713	0.853355495769646	-3.19541508893406	0.00139629862441249	0.0227240697271591	depleted in toy-SfmbtKD
CG1503	18.1974656289802	3.08571892989349	0.75092085440528	4.1092465494747	3.96952105265062e-05	0.00127701151549098	enriched in toy-SfmbtKD
CG1552	4.86926955035519	-5.40717275959303	1.73154082717527	-3.12275210305839	0.00179168587157335	0.0271772692563121	depleted in toy-SfmbtKD
CG15522	275.683600848366	1.39107430584349	0.275385962093741	5.05136244152479	4.38669793755133e-07	2.34700068797867e-05	enriched in toy-SfmbtKD
CG15599	19.3784610819692	4.77653627619685	0.933594497473379	5.11628580622933	3.11610777754051e-07	1.72246731018192e-05	enriched in toy-SfmbtKD
CG15923	49.4818494528844	1.49643250528639	0.370723597890642	4.03651807923977	5.4250346902846e-05	0.0016548009779359	enriched in toy-SfmbtKD
CG15930	53.7418959793251	6.28990058903188	0.697784195011337	9.01410584246564	1.984829664584e-19	7.3548965904307e-17	enriched in toy-SfmbtKD
CG17027	13.007019035996	-2.97339185522946	0.952073922659206	-3.12306826651084	0.00178976229931779	0.0271772692563121	depleted in toy-SfmbtKD
CG17264	80.5234187491995	1.06068233093964	0.367783230313768	2.88398775016124	0.00392674027767139	0.0483543533256445	enriched in toy-SfmbtKD
CG17350	10.5267261946758	-2.9919798299616	0.921796653272376	-3.24581329227013	0.00117115621325933	0.019961529665519	depleted in toy-SfmbtKD
CG17470	6.06123955684925	2.7978325939993	0.940282512039844	2.97552337534141	0.00292489058262133	0.0393043689572182	enriched in toy-SfmbtKD
CG17928	69.3831012381817	-3.69524427522369	0.659925112467845	-5.59949031399186	2.14982944454969e-08	1.53636025662283e-06	depleted in toy-SfmbtKD
CG18765	33.7656177147069	1.32756656130084	0.361301426589658	3.67440165911275	0.000238407444057663	0.00567717779638063	enriched in toy-SfmbtKD
CG18853	105.304593862349	1.63588674884389	0.39187019028023	4.17456287673744	2.98558755069454e-05	0.00100575095773397	enriched in toy-SfmbtKD
CG2233	271.203343482542	-4.81997463241476	1.52068183863539	-3.16961412305682	0.00152641502245124	0.024292252832246	depleted in toy-SfmbtKD
CG2254	95.5220741067644	-2.79416037696624	0.687900491627713	-4.06186710283442	4.86817897528912e-05	0.00151732494229806	depleted in toy-SfmbtKD
CG2556	1037.60573603586	1.00084953386978	0.136029487229499	7.35759249155456	1.87256658038822e-13	3.82347523199677e-11	enriched in toy-SfmbtKD
CG2736	72.3381781424756	-3.9566155194062	1.37719637233419	-2.87294942020518	0.0040665921731336	0.0494225986438388	depleted in toy-SfmbtKD
CG30059	17.5761786244569	2.44672640380334	0.655790367114352	3.73095813311435	0.000190752924915563	0.00475930926129727	enriched in toy-SfmbtKD
CG30157	38.4964847876761	-1.10430103539058	0.341732281528922	-3.23148000665872	0.00123150939015215	0.0207079856276845	depleted in toy-SfmbtKD
CG30380	23.7688350419858	2.29433405423523	0.603490794342972	3.80177142011437	0.000143665240490487	0.003762750604993	enriched in toy-SfmbtKD
CG30427	89.3887041117376	3.04158135008226	0.307521948974507	9.89061548362648	4.57208175249397e-23	2.40756199651064e-20	enriched in toy-SfmbtKD
CG30486	3.59149346774505	4.94101350555588	1.62354787192091	3.04334327986885	0.00233965271875509	0.0330158327942802	enriched in toy-SfmbtKD
CG3085	83.5803612240191	-1.0265183056189	0.220032246362328	-4.6653084835962	3.08154388802301e-06	0.00013641967521978	depleted in toy-SfmbtKD
CG31103	88.2510633776308	-1.14394021719915	0.392795376794677	-2.91230570617718	0.00358771319441153	0.045668028638788	depleted in toy-SfmbtKD
CG31145	158.951130400419	-1.33577289252695	0.421775231949318	-3.16702544706907	0.00154006841273374	0.0244189928199699	depleted in toy-SfmbtKD
CG31262	13.9778066915664	-2.15761079191	0.655290876059291	-3.29260008148623	0.000992655611793639	0.0174850693591468	depleted in toy-SfmbtKD
