geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	res_ScmKD_v_toyScmKD_change
AANATL2	39.7751477037033	-3.91735063763464	0.962650550794412	-4.06933817718372	4.7146872550774e-05	0.00323085246486639	depleted in toy-ScmKD
ATP8	186.469196214276	1.26310164907048	0.350577305504039	3.60291904022273	0.00031466355708864	0.013868761624105	enriched in toy-ScmKD
Arc1	2024.5925025066	-1.51420797011179	0.278180690024088	-5.44325334005274	5.23161589478855e-08	1.68846183959224e-05	depleted in toy-ScmKD
CG10026	101.343250730477	-1.81382359801633	0.444085276380865	-4.08440381720902	4.4190125358624e-05	0.00311353664938756	depleted in toy-ScmKD
CG10621	57.0885940673188	-3.24800487463514	0.891114830391022	-3.64487803800764	0.00026751863611959	0.0122776328182408	depleted in toy-ScmKD
CG10725	24.4876478847487	-8.84869996583331	2.5777635797269	-3.4327042384433	0.000597593600129783	0.020916640736402	depleted in toy-ScmKD
CG11034	73.8287469465307	-2.12721652376669	0.544106167295932	-3.90956150035647	9.24638133336004e-05	0.00557289429158236	depleted in toy-ScmKD
CG1136	212.669018592516	1.51444051582332	0.312883750534545	4.8402657959577	1.29665586531246e-06	0.000193627491529121	enriched in toy-ScmKD
CG11470	18.0870533880582	-6.54602540890168	1.59727231873395	-4.09825258481301	4.16280881729309e-05	0.00306241928066304	depleted in toy-ScmKD
CG12116	50.2236677799694	-5.22781961306581	1.61471206287635	-3.2376172404096	0.00120532402981389	0.034437352034333	depleted in toy-ScmKD
CG12522	33.9818291676887	5.98192685532643	1.52235711964462	3.92938475350833	8.51634806266584e-05	0.00522736578938477	enriched in toy-ScmKD
CG12825	9.76616261073986	-4.75302824983263	1.49589029834878	-3.17739091902609	0.00148606580165022	0.0394147607387385	depleted in toy-ScmKD
CG12934	53.4483885895082	-10.1107081352372	1.97047879117033	-5.13109208814784	2.8806592600945e-07	6.40466575494344e-05	depleted in toy-ScmKD
CG13285	11.0542834192402	-7.11811869903226	1.75979921765126	-4.04484706416254	5.23572917689893e-05	0.00346910400098502	depleted in toy-ScmKD
CG13675	4.35467756095966	5.05116178189465	1.4715446735842	3.43255755164515	0.00059791696657781	0.020916640736402	enriched in toy-ScmKD
CG14300	62.5276613162286	-5.39195049808631	1.45044313471624	-3.71745045981494	0.000201243433033038	0.00982166120729535	depleted in toy-ScmKD
CG14431	41.8960660183734	-1.26159458212973	0.358438062273852	-3.5197003748052	0.000432034558667158	0.0175000233176717	depleted in toy-ScmKD
CG14989	64.7596842135533	-4.61087659136711	1.31896110450239	-3.49583969961469	0.000472572504405183	0.0183340357549998	depleted in toy-ScmKD
CG15343	121.73683451486	-2.57594635636596	0.506143063237417	-5.08936414121646	3.59266142372131e-07	7.64778245624079e-05	depleted in toy-ScmKD
CG15404	39.5520319820747	-4.66792850112202	1.33372012883477	-3.49993105765019	0.000465378502181055	0.0183028511103354	depleted in toy-ScmKD
CG15547	39.9797457059653	-1.29288716088051	0.372179852971415	-3.47382361124155	0.000513098215727608	0.0190838202541067	depleted in toy-ScmKD
CG15818	7.83195787412547	-6.70098181847165	1.72061514727831	-3.89452680866571	9.83906102929352e-05	0.00579057679988716	depleted in toy-ScmKD
CG15879	91.1230587275043	2.08667128760864	0.330769471284484	6.30853651488883	2.81686279080883e-10	1.76141951387765e-07	enriched in toy-ScmKD
CG15919	67.2864767429013	-3.82869146577852	1.09034395375238	-3.51145292510884	0.000445664385684227	0.0178060356067669	depleted in toy-ScmKD
CG17026	16.8655334116496	-2.2877893171033	0.719157247002614	-3.18120873652961	0.00146661915424064	0.0391293990351404	depleted in toy-ScmKD
CG18853	105.304593862349	1.33535271967454	0.389938674707091	3.42451981886027	0.00061588692110451	0.0213956550196202	enriched in toy-ScmKD
CG31698	49.6018422341722	-5.37523108416048	1.64398030182297	-3.2696444587566	0.00107682737952613	0.0315019237782426	depleted in toy-ScmKD
CG31808	35.0337177631564	2.21352148191528	0.448693650951193	4.93325786362879	8.08692775188947e-07	0.000134564178871968	enriched in toy-ScmKD
CG32302	41.9230910995046	-9.33736375958053	1.63224417462798	-5.72056797918037	1.06168539047586e-08	4.42590097154625e-06	depleted in toy-ScmKD
CG32368	15.6026438978662	-3.32166466821421	0.707268311385945	-4.69647037021234	2.64695611214719e-06	0.000339523024385034	depleted in toy-ScmKD
CG32603	52.8622407982661	-4.97397732719118	1.52038770904292	-3.27151903268298	0.00106971388041095	0.03147790403974	depleted in toy-ScmKD
CG32706	15.4511968175933	1.77149166373706	0.561055963426036	3.15742417729527	0.00159169624800233	0.0409381001574891	enriched in toy-ScmKD
CG32783	4.04942104656701	5.63853801409958	1.37919958459311	4.0882683529542	4.34605233214718e-05	0.00308384777185337	enriched in toy-ScmKD
CG33509	110.74846476401	1.42701550421132	0.43638776524983	3.27006304449063	0.00107523517640354	0.0315019237782426	enriched in toy-ScmKD
CG34166	1064.89631006555	-4.4419831689974	1.30283938829552	-3.40946336816602	0.000650908188107722	0.0222766674504475	depleted in toy-ScmKD
CG34244	155.45890609873	1.01107618496272	0.298602144947135	3.38603121937295	0.00070911315946696	0.0235703560148403	enriched in toy-ScmKD
CG34279	35.6920433082492	-4.71906293691927	1.3600059853329	-3.46988394743288	0.00052068328794803	0.0192230121620666	depleted in toy-ScmKD
CG34282	96.3178290108215	-5.68997093908718	1.66624507020192	-3.4148463757481	0.000638179942480528	0.0220172080155782	depleted in toy-ScmKD
CG3982	13.1632078577318	-4.73525183408163	1.32485553776642	-3.57416465350237	0.000351347792531696	0.0151518735529294	depleted in toy-ScmKD
CG3999	17.3842477367255	-6.2940263626603	1.95369104794499	-3.2216078224245	0.00127473488387802	0.0360274647265524	depleted in toy-ScmKD
CG42319	198.294058897489	-2.911764025921	0.60305751937142	-4.82833549435881	1.37679000860344e-06	0.000202570353471726	depleted in toy-ScmKD
CG42728	3.38043427723668	-5.55833828275402	1.75838658637338	-3.16104451991865	0.00157204468917322	0.0407051289033467	depleted in toy-ScmKD
CG42822	18.8463396785016	-5.48212110064847	1.64366333134689	-3.33530656558249	0.00085205409416293	0.0261496969696323	depleted in toy-ScmKD
CG42835	8.59487116413164	-17.0013924193567	3.60663609831038	-4.71391955160695	2.42996632489945e-06	0.000324157507741587	depleted in toy-ScmKD
